StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,degree,requiredDegree,notRequiredWhy,gv207,gv207_3_TEXT,satisfiedGv207,challengedGv207,learnedGv207,issueFamiliar_1,issueFamiliar_2,issueFamiliar_3,issueFamiliar_4,issueFamiliar_5,issueFamiliar_6,issueFamiliar_7,issueFamiliar_8,appsFamiliar_1,appsFamiliar_2,appsFamiliar_3,appsFamiliar_4,appsFamiliar_5,pValue,spurriousCorr,dissTitle,dissData,materialUsed_1,materialUsed_2,materialUsed_3,materialUsed_4,materialUsed_5,materialUsed_6,materialUsed_7,materialUsed_8,materialUsed_9,materialUsed_10,officeHours
2019-10-02 07:52:21,2019-10-02 07:53:24,Survey Preview,,100,63,True,2019-10-02 07:53:24,R_307s5090vuVBiPk,,,,,51.5265960693359375,-0.013397216796875,preview,EN,adf,No,afdsfdas,Yes,,Moderately satisfied,Moderately challenging,A great deal,0 - Not at all,1,1,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,2,1,1,0 - Not at all,0 - Not at all,asdfaf,asdfafasdf,asdfadf,"Cross-sectional data,Non-linear regression,Causal inference methods (e.g. Instrumental variable regression, Regression discontinuity design, Difference-in-difference estimator,Laboratory experiments,Agent-based simulations",0 - Not at all,3,3,3,3,3,3,3,3,3,adf
2019-10-02 07:58:08,2019-10-02 08:09:43,IP Address,86.154.36.147,100,694,True,2019-10-02 08:09:43,R_3L1fXeaTkxTmKyY,,,,,51.4384002685546875,-0.0166015625,anonymous,EN,Economics and Politics,Yes,,Yes,,Moderately dissatisfied,Moderately challenging,A little,2,2,3,4,4,3,4,5-Very much,2,3,4,0 - Not at all,2,"Helps determine level of significance of results. ","Fast food causes obesity ",Economic analysis of cryptocurrencies,,4,2,4,4,0 - Not at all,0 - Not at all,5 - Very much,1,2,0 - Not at all,
2019-10-02 08:11:25,2019-10-02 08:16:43,IP Address,82.132.233.187,100,317,True,2019-10-02 08:16:43,R_2scZCZp86fMrYgP,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,BA Politics,Yes,,Yes,,Moderately satisfied,Not challenging at all,A little,3,2,3,1,4,4,4,3,1,0 - Not at all,4,2,3,"the p value is the probability that something happened by chance and was not due to a relationship between two variables. it is often used with a significance level such as 0.05 to indicate that a relationship is significant ",a spurious corrolation is a corrolation where two things look to have a relationship but in fact dont.,"Constructivism and arab nationalism: an analysis of middle eastern identity politics ","Time-series/Longitudional data,Web-scraped data,Text analysis",3,2,4,4,3,0 - Not at all,4,1,0 - Not at all,2,sure its on the module outline
2019-10-02 08:59:34,2019-10-02 09:05:58,IP Address,151.16.47.207,100,384,True,2019-10-02 09:05:58,R_wN5AHgYn2k6KF9v,,,,,44.402801513671875,8.944793701171875,anonymous,EN,International Relations,No,I have previously taken the GV207 course and would like to have a q-step,Yes,,Extremely satisfied,Slightly challenging,A great deal,0 - Not at all,0 - Not at all,3,2,1,1,5-Very much,5-Very much,2,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,value of significance,,unknown,"Cross-sectional data,Time-series/Longitudional data,Causal inference methods (e.g. Instrumental variable regression, Regression discontinuity design, Difference-in-difference estimator",0 - Not at all,0 - Not at all,5 - Very much,5 - Very much,0 - Not at all,0 - Not at all,2,3,0 - Not at all,5 - Very much,thrusday form 11am to 1pm room 5.423
2019-10-02 11:06:12,2019-10-02 11:10:39,IP Address,85.255.232.156,100,266,True,2019-10-02 11:10:39,R_2dY2tHGmNSV5Taf,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,"Politics ",No,"Developing Quantitative skills and using data ",Yes,,Moderately satisfied,Moderately challenging,A great deal,1,1,2,2,4,3,5-Very much,5-Very much,4,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,"Significance indicator ","Vaccinations causing autism ",N/A,,4,1,5 - Very much,5 - Very much,0 - Not at all,0 - Not at all,5 - Very much,1,0 - Not at all,0 - Not at all,-
2019-10-02 11:08:41,2019-10-02 11:13:20,IP Address,81.129.182.168,100,278,True,2019-10-02 11:13:20,R_3L59iJKYjOkNVQw,,,,,51.8827972412109375,1.0045928955078125,anonymous,EN," BA Modern History and Politics",Yes,,Yes,,Slightly satisfied,Moderately challenging,A moderate amount,3,4,3,3,4,3,3,3,3,2,2,2,3,It is the probability of correctly rejecting the null hypothesis,,Challenge Project,"Time-series/Longitudional data,Linear regression,Non-linear regression,Causal inference methods (e.g. Instrumental variable regression, Regression discontinuity design, Difference-in-difference estimator,Survey data,Web-scraped data,Text analysis",3,3,4,4,2,2,2,3,3,2,"Thursday 11 am - 1 pm, 5.423"
2019-10-02 14:34:05,2019-10-02 14:47:07,IP Address,217.41.63.56,100,781,True,2019-10-02 14:47:07,R_qFy8G6DhVlCDxU5,,,,,51.5666961669921875,-0.216705322265625,anonymous,EN,International relations,No,"Im interested in AQM pathway and skills I will gain from this course ",Yes,,Moderately satisfied,Very challenging,A moderate amount,0 - Not at all,0 - Not at all,1,1,3,3,1,3,0 - Not at all,0 - Not at all,2,0 - Not at all,0 - Not at all,"Determine the significance of the results of my hypothesis testing. ",,Not sure yet,"Cross-sectional data,Field experiments",5 - Very much,3,5 - Very much,4,1,0 - Not at all,3,1,0 - Not at all,0 - Not at all,I don’t know
2019-10-02 09:40:06,2019-10-04 03:40:14,IP Address,176.252.164.91,100,151208,True,2019-10-04 03:40:14,R_2vbGG88uY7tE7nH,,,,,52.045196533203125,1.12469482421875,anonymous,EN,International relations,No,Quantitative skills are really employable and great for research.,Yes,,Extremely satisfied,Very challenging,A lot,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,3,2,5-Very much,4,2,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,A p value is the % chance that the findings are chance based when the null hypothesis is true.,Margarine consumption being correlated to divorce in Maine,No clue but something to do with politics.,"Cross-sectional data,Time-series/Longitudional data,Panel data,Linear regression,Survey experiments,Survey data,Archival sources,Web-scraped data",2,2,4,4,3,0 - Not at all,4,5 - Very much,4,0 - Not at all,Thursday 11am-1pm
2019-10-04 10:11:29,2019-10-04 10:26:58,IP Address,94.11.226.126,100,928,True,2019-10-04 10:26:58,R_2wRoWPYR1ISx2vt,,,,,52.0417022705078125,1.1865997314453125,anonymous,EN,International Relations and Modern Languages,No,"I am interested in data analysis. I would like to develop my skills in R, statistical analysis, and even Stata (as mentioned in the e-mail). I want to pursue career opportunities in data analysis, or political risk management/consulting. ",Yes,,Moderately satisfied,Very challenging,A great deal,3,1,2,1,4,3,2,2,0 - Not at all,0 - Not at all,3,0 - Not at all,0 - Not at all,"a value between 0 and 1, if the p-value is less than 0.05 we can reject the null hypothesis",number of people murdered and raising temperature,GV832 Collaborative Research Project - Voter Turnout and Democratic Breakdown,"Cross-sectional data,Time-series/Longitudional data,Panel data,Linear regression,Non-linear regression",5 - Very much,1,5 - Very much,5 - Very much,3,0 - Not at all,5 - Very much,1,0 - Not at all,0 - Not at all,"Academic support hours Thursday 11am - 1pm, Location 5.423, Colchester Campus"
2019-10-06 03:17:29,2019-10-06 03:46:24,IP Address,5.151.215.96,100,1735,True,2019-10-06 03:46:24,R_331i4R04d9h7Q0k,,,,,51.9499969482421875,0.9167022705078125,anonymous,EN,Politics and International Relations,No,I felt as if this course would provide me with useful skills that will help me with further postgraduate study.,Yes,,Moderately satisfied,Moderately challenging,A lot,1,1,3,2,4,3,5-Very much,5-Very much,4,0 - Not at all,2,0 - Not at all,3,A p value is the level of statistical significance after performing a significance test,The lack of a brexit deal has had a negative a effect of Tottenham Hotspur’s performance level,A comparative assessment on China’s relationship with its Special administrative regions,"Cross-sectional data,Linear regression,Non-linear regression,Causal inference methods (e.g. Instrumental variable regression, Regression discontinuity design, Difference-in-difference estimator",5 - Very much,5 - Very much,5 - Very much,5 - Very much,3,2,4,3,2,0 - Not at all,Thursday 11am-1pm
